平均心率,59
分类,窦性心律
-0.089079,
-0.083351,
-0.079347,
-0.077601,
-0.077897,
-0.079258,
-0.080407,
-0.080443,
-0.079274,
-0.077585,
-0.076458,
-0.077033,
-0.080161,
-0.085852,
-0.093007,
-0.099882,
-0.104919,
-0.107416,
-0.10771,
-0.106855,
-0.106099,
-0.106311,
-0.107508,
-0.108826,
-0.109138,
-0.107871,
-0.105233,
-0.101892,
-0.098729,
-0.096614,
-0.095958,
-0.096449,
-0.097158,
-0.096879,
-0.094604,
-0.090068,
-0.084199,
-0.078912,
-0.076163,
-0.07702,
-0.081416,
-0.088384,
-0.096418,
-0.103888,
-0.109487,
-0.112422,
-0.112324,
-0.109278,
-0.103864,
-0.096989,
-0.089577,
-0.082378,
-0.075938,
